"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OR11H2",2.1639547232379,-23.1519921569428,2.9882321668349,-7.74772201902409,9.35556659011698e-15,6.35973875108796e-12
"KRTAP3.3",2.1639547232379,-23.1519921569428,2.9882321668349,-7.74772201902409,9.35556659011698e-15,6.35973875108796e-12
"OR8B3",2.1639547232379,-23.1519921569428,2.9882321668349,-7.74772201902409,9.35556659011698e-15,6.35973875108796e-12
"IVL",5.93825353955062,-23.0607197461495,2.98557618574129,-7.72404330403103,1.12696527510592e-14,7.42875019072095e-12
"XAGE2B",1.89121102046217,-22.9547314787547,2.98548469251822,-7.68877882250761,1.48545999559016e-14,9.5038856717861e-12
"NCRNA00052",1.96577075106017,-22.6007456256113,2.98823233810585,-7.56324912805715,3.93123631505976e-14,2.44331953032843e-11
"OR10A3",2.89792883051581,-22.5440722582726,2.98724640069945,-7.54677359490467,4.46173220851807e-14,2.69600168699704e-11
"GAGE2D",1.97648339820491,-22.442944881307,2.98823232889015,-7.510441763289,5.89281658531775e-14,3.46449835622749e-11
"PRAMEF12",2.0037535862065,22.2424194931409,2.98618397841808,7.44844244490378,9.44486170024603e-14,5.40668622540663e-11
"OPN1MW2",1.82245598997741,22.1061249821525,2.98618922384687,7.40278774218969,1.33354817963275e-13,7.25216838788783e-11
"OPN1MW",1.82245598997741,22.1061249821525,2.98618922384687,7.40278774218969,1.33354817963275e-13,7.25216838788783e-11
"LOC646508",1.19223238534835,-21.9674848570441,2.98823353885099,-7.35132799074694,1.96247196620811e-13,1.04121104099817e-10
"DEFB125",1.59208182427236,21.9334045565958,2.98619762162509,7.34492734096399,2.05870904660628e-13,1.05202813515606e-10
"GAGE12F",1.78956467629719,-21.9382418034308,2.9874051215139,-7.34357775764719,2.07958487618769e-13,1.05202813515606e-10
"KCNA4",1.68366480269523,21.8709814292867,2.98420134733031,7.32892284525394,2.32009900372529e-13,1.1470253097281e-10
"FSHB",1.08197736161895,-21.8401004202442,2.98823384964665,-7.30869855544496,2.69742134334279e-13,1.17354012963471e-10
"OR52A5",1.08197736161895,-21.8401004202442,2.98823384964665,-7.30869855544496,2.69742134334279e-13,1.17354012963471e-10
"OR10G8",1.08197736161895,-21.8401004202442,2.98823384964665,-7.30869855544496,2.69742134334279e-13,1.17354012963471e-10
"SPANXN2",1.08197736161895,-21.8401004202442,2.98823384964665,-7.30869855544496,2.69742134334279e-13,1.17354012963471e-10
"OR2G2",1.08197736161895,-21.8401004202442,2.98823384964665,-7.30869855544496,2.69742134334279e-13,1.17354012963471e-10
"IFNA10",1.08197736161895,-21.8401004202442,2.98823384964665,-7.30869855544496,2.69742134334279e-13,1.17354012963471e-10
"FAM75A6",2.68479926317053,-21.8036276951493,2.98809542424041,-7.29683112469271,2.94624202924046e-13,1.25665887964839e-10
"KRTAP20.1",1.41472586024836,-21.6853200927845,2.98626537388735,-7.2616855428879,3.82296133878122e-13,1.59924765389438e-10
"MYADML",3.27083352465064,-21.578578882525,2.98642509275214,-7.22555504067215,4.99059288318343e-13,2.04830881109225e-10
"KRTAP6.2",0.87843706586885,-21.2745261537531,2.98823461703832,-7.11942965671102,1.08374580279624e-12,4.36568934226417e-10
"RBMY2EP",0.661039738410964,-21.2060806353567,2.98823597811502,-7.09652142289431,1.27936123428741e-12,5.05998998717345e-10
"MTRNR2L7",0.819517506572768,-21.1894319723318,2.98823492567925,-7.09095251857257,1.33192041118774e-12,5.17379726867265e-10
"MIR4303",0.643333316846385,-21.1523289204507,2.98823612900268,-7.07853329097867,1.45688129471633e-12,5.5599190884148e-10
"SNORD114.31",0.548899068501961,-21.1155894457753,2.98823709266242,-7.06623630957006,1.59192237467222e-12,5.97053231314566e-10
"DEFB110",0.540988680809474,-21.0855431704849,2.98823718587312,-7.05618123961735,1.7114058272177e-12,6.20470182657776e-10
"KRTAP4.7",0.540988680809474,-21.0855431704849,2.98823718587312,-7.05618123961735,1.7114058272177e-12,6.20470182657776e-10
"OR2T33",0.596116192674173,-21.0325269188258,2.98823657399631,-7.03844103303306,1.94402538324195e-12,6.93252199371512e-10
"DEFB118",0.769244798374312,20.9315452944585,2.9862686960736,7.00926387567858,2.3957523993943e-12,8.4056132167781e-10
"KCNV1",123.89433829912,14.540273890721,2.08738311341008,6.96579070574501,3.2656433085408e-12,1.12757998239187e-09
"SEMG2",304.060075581468,-20.0829095100502,2.98871135225318,-6.71958819138213,1.82238859304148e-11,6.19412797881739e-09
"KRT33A",3.45750691227103,-19.5087980348873,2.98798684485345,-6.52907761909647,6.61759523115724e-11,2.21465460097482e-08
"NTSR2",6.34203012936266,19.0518128860941,2.97843964792749,6.39657509909629,1.58900698093315e-10,5.23722255397557e-08
"C12orf12",10.294368912864,19.0252299186937,2.97937143404688,6.38565225580207,1.70668437645426e-10,5.5411201852253e-08
"EDDM3B",18.9496334358784,18.5927032891841,2.9842447256048,6.23028772729622,4.6557928510381e-10,1.4893744395387e-07
"KRTAP10.5",3.19793228221838,18.1214122319164,2.98611539773751,6.06855724519099,1.29064412954923e-09,4.06889590580932e-07
"TEX13A",2.81662650200878,18.0298603379068,2.98611811513597,6.03789255572893,1.5613996925705e-09,4.85216107321229e-07
"ESX1",2.75736579590216,18.0153304974501,2.98611861264043,6.03302575496835,1.60917756594355e-09,4.93020275943239e-07
"GPR149",11.2630950051653,17.9791191194649,2.98154289540844,6.03013934401298,1.63818367853582e-09,4.94936243877634e-07
"CABS1",8.61584783317757,17.9193099974955,2.98428335014887,6.00456052425502,1.918508398609e-09,5.71689221848515e-07
"CGB8",7.4706053252596,17.7532769686155,2.97888286222964,5.95970965952232,2.52686478420675e-09,7.42795806092559e-07
"MIR605",1.56496231028686,17.6135997865074,2.98613635843696,5.89845796450064,3.66914412466247e-09,1.0641985619171e-06
"MIR450A1",1.51099809269076,17.5919497976257,2.98613782311171,5.89120490737896,3.83389799777536e-09,1.08772085881467e-06
"C20orf185",1.71158862931474,17.5898202096709,2.98613281617783,5.89050162617528,3.8502508218972e-09,1.08772085881467e-06
"ADAM3A",23.3321998497356,17.4205735448081,2.98126203196852,5.84335538372832,5.11597128680321e-09,1.42676568463885e-06
"SPTA1",7322.18386096619,2.88625608377053,0.496583273611976,5.81222976516484,6.1646148532605e-09,1.69745401143007e-06
"PPP2R3B.AS1",1.0676601285366,17.248820882494,2.98552368708865,5.77748585854106,7.58250925624854e-09,2.06177904813968e-06
"THBS4",74711.0658585434,-2.01107429153518,0.348908109842683,-5.763908131691,8.21881641542371e-09,2.20720880845323e-06
"PRR23A",0.704156625502195,17.0485639459764,2.98618607924003,5.70914319924606,1.13546327647437e-08,2.97587140399361e-06
"BIRC8",0.704156625502195,17.0485639459764,2.98618607924003,5.70914319924606,1.13546327647437e-08,2.97587140399361e-06
"MIR300",0.676956068870459,17.0164554541889,2.98618964671579,5.6983840503578,1.20948348816186e-08,3.1321302759506e-06
"SNORD115.2",0.566624284759036,16.8913355394865,2.98620812452186,5.65644952901301,1.54536394137242e-08,3.94524020021389e-06
"MIR3924",0.558451125445257,16.886594817266,2.98620966176183,5.65485907888434,1.55974190786739e-08,3.94524020021389e-06
